# timestamp_grid, lon_SD_grid, lat_SD_grid, taux_c_SD_grid, tauy_c_SD_grid, taux10m_c_SD_grid, tauy10m_c_SD_grid, ucur_SD_grid[:,iz], vcur_SD_grid[:,iz], ucur_SD_grid_bp[:,iz], vcur_SD_grid_bp[:,iz], tau_dot_sfcvel_SD, energy_input_SD
1.694070000000000000e+09 -6.678824319999999659e+01 2.593603039999999993e+01 1.669715591299405014e-02 3.223853106425716292e-02 2.099876223333185798e-02 4.045124334411567130e-02 7.500000000000839329e-02 -9.449999999999997513e+00 -6.015679528610126114e-01 8.458772951173141319e-01 1.722536755400837032e-04 0.000000000000000000e+00
1.694070600000000000e+09 -6.678713600000000383e+01 2.593849279999999879e+01 2.305797329487159486e-02 2.602265606905424661e-02 2.901386460460845737e-02 3.264901563071016810e-02 6.625000000000076383e-01 -9.324999999999997513e+00 -6.120454908717087861e-01 9.338317753651607100e-01 1.018825453291546338e-04 8.224086626077149742e-02
1.694071200000000000e+09 -6.678532479999999794e+01 2.594093919999999898e+01 2.269301080503890664e-02 1.664050717132313159e-02 2.856910996274467790e-02 2.086322805816638939e-02 1.250000000000006661e+00 -9.199999999999995737e+00 -6.214239340928313649e-01 1.021431969857387045e+00 2.895165968552152868e-05 1.214911277651743449e-01
1.694071800000000000e+09 -6.678355840000000399e+01 2.594285119999999978e+01 2.457362547481073412e-02 3.096499262127237750e-02 3.093919933463853966e-02 3.887124323769111656e-02 1.837500000000006128e+00 -9.074999999999995737e+00 -6.296532565352910282e-01 1.108532349557137309e+00 1.885283271938532370e-04 1.867351238289867710e-01
1.694072400000000000e+09 -6.678230399999999634e+01 2.594517120000000077e+01 2.052362279601947434e-02 2.984134402597087357e-02 2.584643283644109252e-02 3.746020431124544303e-02 2.425000000000005151e+00 -8.949999999999995737e+00 -6.366844560905003947e-01 1.194986582401583064e+00 2.259293409497457970e-04 3.110724242720664945e-01
1.694073000000000000e+09 -6.678103040000000590e+01 2.594738080000000124e+01 1.639575672738022641e-02 2.742626053504915520e-02 2.065479069905698864e-02 3.442485460424214022e-02 3.012500000000004619e+00 -8.824999999999995737e+00 -6.424696548115212957e-01 1.280647772642445226e+00 2.458960330110844853e-04 4.526200364603155668e-01
1.694073600000000000e+09 -6.678015360000000555e+01 2.594924960000000169e+01 1.365392862649455509e-02 2.200460947347444157e-02 1.720709594265231596e-02 2.761244687559005068e-02 3.600000000000003197e+00 -8.699999999999995737e+00 -6.469622005032455991e-01 1.365368703334629341e+00 2.121082939447152440e-04 5.900213345470555204e-01
1.694074200000000000e+09 -6.677863680000000102e+01 2.595132320000000092e+01 1.854556688006125942e-02 2.485008267985030009e-02 2.337027985305423911e-02 3.116977253532341938e-02 4.249999999999998224e+00 -1.055000000000000426e+01 -6.501167692986423718e-01 1.449002075277891821e+00 2.395103734905295082e-04 7.255069347776289534e-01
1.694074800000000000e+09 -6.677711999999999648e+01 2.595317119999999989e+01 1.347888197970246484e-02 2.247877518960597620e-02 1.698678752918957729e-02 2.816001253145747688e-02 4.899999999999993250e+00 -1.240000000000001101e+01 -6.518894684901814784e-01 1.531400723126495889e+00 2.563727137077040385e-04 8.742718609370989657e-01
1.694075400000000000e+09 -6.677617920000000140e+01 2.595519519999999858e+01 1.265277887639356183e-02 2.685409729797153325e-02 1.594403011931275899e-02 3.369323193736741689e-02 3.449999999999997513e+00 -9.400000000000009237e+00 -6.522379457873666020e-01 1.612417811311263494e+00 3.504740228709425859e-04 1.056325881910692877e+00
1.694076000000000000e+09 -6.677496320000000196e+01 2.595716480000000104e+01 2.002724272814031953e-02 2.652766764057374466e-02 2.522726493642187678e-02 3.333174082210704076e-02 2.000000000000001776e+00 -6.400000000000005684e+00 -6.511215253454208929e-01 1.691907068748595755e+00 3.184217956489039051e-04 1.256994627466646808e+00
1.694076600000000000e+09 -6.677331200000000422e+01 2.595892639999999929e+01 1.469196853644375717e-02 2.474700999689693690e-02 1.848653817668910460e-02 3.105392258414901158e-02 8.500000000000063061e-01 -8.400000000000007461e+00 -6.485013832932771116e-01 1.769723095950953118e+00 3.426759322805255866e-04 1.455323945845475642e+00
1.694077200000000000e+09 -6.677127679999999543e+01 2.596025279999999924e+01 1.854303268019027659e-02 2.388790266188924385e-02 2.331255989756949448e-02 2.994388594928967112e-02 -2.999999999999891642e-01 -1.040000000000000924e+01 -6.443407461221378751e-01 1.845721671240137640e+00 3.214238811100295990e-04 1.654553889862642180e+00
1.694077800000000000e+09 -6.676878720000000556e+01 2.596144479999999888e+01 8.504179836286920521e-03 1.992928955872488861e-02 1.067348241024048024e-02 2.495154139805520754e-02 -1.199999999999989964e+00 -1.105000000000000426e+01 -6.386050884162269847e-01 1.919759981252519232e+00 3.282864003337421298e-04 1.849466974295773669e+00
1.694078400000000000e+09 -6.676647040000000288e+01 2.596299679999999910e+01 5.239284931228087132e-03 2.254974728188071514e-02 6.563542555559328043e-03 2.822880239886711023e-02 -2.099999999999990763e+00 -1.169999999999999929e+01 -6.312623220520103828e-01 1.991696804822319367e+00 4.160489643929345138e-04 2.072767583713776673e+00
1.694079000000000000e+09 -6.676452480000000378e+01 2.596419519999999892e+01 1.214588113101220529e-02 1.865477108740879256e-02 1.521949344895686361e-02 2.333203709694236377e-02 -4.099999999999992539e+00 -1.205000000000000426e+01 -6.222829810045148458e-01 2.061392707686469539e+00 3.089663396601211379e-04 2.290272174929693261e+00
1.694079600000000000e+09 -6.676238080000000252e+01 2.596521440000000069e+01 1.229839851882381409e-02 1.873830733349832883e-02 1.539015912646804658e-02 2.342548917086574242e-02 -6.099999999999994316e+00 -1.240000000000001101e+01 -6.116404142143428979e-01 2.128710258119061116e+00 3.236622947637906927e-04 2.480060765256866695e+00
1.694080200000000000e+09 -6.676017280000000653e+01 2.596645279999999900e+01 1.149003793600731661e-02 2.280571572843839018e-02 1.437427637237855688e-02 2.853732719358118355e-02 -6.399999999999995026e+00 -1.185000000000000497e+01 -5.993109898069128860e-01 2.193514255118530265e+00 4.313855654016296535e-04 2.706575123306492969e+00
1.694080800000000000e+09 -6.675800959999999407e+01 2.596733439999999860e+01 1.659356293308548655e-02 1.731527122772434646e-02 2.078252200623078097e-02 2.165262657224081844e-02 -6.699999999999994849e+00 -1.129999999999999893e+01 -5.852742873659474432e-01 2.255671971236532958e+00 2.934578626221258629e-04 2.924028151713619739e+00
1.694081400000000000e+09 -6.675600000000000023e+01 2.596806240000000088e+01 1.970146333150609927e-02 2.341530239629575211e-02 2.465262647227474055e-02 2.926615302058111975e-02 -8.500000000000007105e+00 -1.390000000000000213e+01 -5.695132609181136063e-01 2.315053402467799781e+00 4.298743085557223250e-04 3.141027803066974045e+00
1.694082000000000000e+09 -6.675368960000000129e+01 2.596870240000000152e+01 1.748772518947652732e-02 2.117773940751538700e-02 2.184148038929727836e-02 2.641641010066033204e-02 -1.030000000000002025e+01 -1.650000000000000355e+01 -5.520143937527817180e-01 2.371531487867422072e+00 4.057019982818936294e-04 3.391700695118258668e+00
1.694082600000000000e+09 -6.675171840000000145e+01 2.596937919999999878e+01 2.030583153913522940e-02 1.854850764970395263e-02 2.539517276149184585e-02 2.312915494340978331e-02 -9.050000000000013145e+00 -1.639999999999999147e+01 -5.327678606331127664e-01 2.424982278483980291e+00 3.416150791537516697e-04 3.615895818348952240e+00
1.694083200000000000e+09 -6.674974720000000161e+01 2.596971200000000124e+01 1.338422150197284520e-02 1.202000322434403079e-02 1.672405382669990906e-02 1.495637828339069740e-02 -7.800000000000006928e+00 -1.629999999999998295e+01 -5.117676633823613486e-01 2.475285098702206810e+00 2.290332310331465670e-04 3.787090311405021836e+00
1.694083800000000000e+09 -6.675089920000000632e+01 2.597033599999999964e+01 8.021916132212569481e-03 1.213995205547853048e-02 9.983202390664957029e-03 1.512783573487631004e-02 -1.079999999999999893e+01 -1.309999999999999076e+01 -4.890117190439553507e-01 2.522322757330361931e+00 2.669806634459329520e-04 3.935894479748745844e+00
1.694084400000000000e+09 -6.675369600000000503e+01 2.597124799999999922e+01 7.193353616303994370e-03 1.767174016959909000e-02 8.927791258340160921e-03 2.210046853556062521e-02 -1.379999999999999005e+01 -9.899999999999998579e+00 -4.645019557441497082e-01 2.565981830668014219e+00 4.200403736834490355e-04 4.142000790887560235e+00
1.694085000000000000e+09 -6.675660799999999995e+01 2.597232800000000097e+01 7.548073437697339072e-03 1.121888863944929364e-02 9.385697313289090987e-03 1.400150633382933954e-02 -1.250000000000000000e+01 -9.850000000000003197e+00 -4.382444585402120452e-01 2.606153000735572878e+00 2.593023893589357638e-04 4.345803619800276074e+00
1.694085600000000000e+09 -6.675928960000000245e+01 2.597333599999999976e+01 8.380818665450430818e-03 9.021077094348703071e-03 1.043860715597793622e-02 1.124872302792862162e-02 -1.120000000000000995e+01 -9.800000000000007816e+00 -4.102496059847557386e-01 2.642731389048780244e+00 2.040205604493355558e-04 4.484800504742757710e+00
1.694086200000000000e+09 -6.676168959999999686e+01 2.597436000000000078e+01 8.551741669647415500e-03 1.027064174524654552e-02 1.065335689329951520e-02 1.281227923514020005e-02 -1.100000000000001066e+01 -1.019999999999999751e+01 -3.805321320881951963e-01 2.675616833671596861e+00 2.422608945557349085e-04 4.618684941244278974e+00
1.694086800000000000e+09 -6.676440959999999336e+01 2.597558079999999947e+01 8.410130304625397860e-03 1.036736591413679569e-02 1.047646885990765817e-02 1.293043861069614366e-02 -1.080000000000000959e+01 -1.059999999999998721e+01 -3.491111378492407491e-01 2.704714114739640518e+00 2.510469076052826995e-04 4.766677281892584439e+00
1.694087400000000000e+09 -6.676697599999999966e+01 2.597673599999999894e+01 5.785138966797122827e-03 1.051085529679238184e-02 7.131552344673146131e-03 1.303884181651137307e-02 -1.225000000000000533e+01 -7.449999999999990408e+00 -3.160101058306761801e-01 2.729933166639990638e+00 2.686577010732441625e-04 4.922588664496142741e+00
1.694088000000000000e+09 -6.676935679999999707e+01 2.597803040000000152e+01 1.295203832693288259e-02 1.137856235470706585e-02 1.616026613694536429e-02 1.424844784424928942e-02 -1.370000000000000107e+01 -4.299999999999992717e+00 -2.812569402259005868e-01 2.751189323383290475e+00 2.766172859619938284e-04 5.086171160606713926e+00
1.694088600000000000e+09 -6.676860800000000040e+01 2.597733440000000016e+01 7.342989381463546801e-03 8.814389925459105782e-03 8.946533424419594524e-03 1.078607065689110231e-02 -1.240000000000001101e+01 -6.150000000000000355e+00 -2.448840233885303808e-01 2.768403607562174518e+00 2.260360808466862679e-04 5.236967170649317715e+00
1.694089200000000000e+09 -6.676734079999999949e+01 2.597630080000000063e+01 4.990820356646915971e-03 1.255227858863823542e-02 6.197035673015432490e-03 1.570316619143157302e-02 -1.110000000000002096e+01 -8.000000000000007105e+00 -2.069282480531652313e-01 2.781502992851728084e+00 3.388145874865689943e-04 5.406422371149293582e+00
1.694089800000000000e+09 -6.676629760000000147e+01 2.597542239999999936e+01 4.709896145105313923e-03 8.158079252928837968e-03 5.537513567782433033e-03 9.657276048475355035e-03 -1.180000000000001137e+01 -6.900000000000005684e+00 -1.674309979882178945e-01 2.790420582735096744e+00 2.197588965096094885e-04 5.573994416348146963e+00
1.694090400000000000e+09 -6.676501759999999308e+01 2.597443039999999925e+01 8.731631321287479375e-03 1.364111459250194787e-02 1.087915306793042422e-02 1.708457042290998165e-02 -1.250000000000000000e+01 -5.800000000000005151e+00 -1.264381085184177189e-01 2.795095753961680973e+00 3.702421052826316357e-04 5.750994716885819535e+00
1.694091000000000000e+09 -6.676348799999999528e+01 2.597338239999999843e+01 5.979270477845662415e-03 7.894312216372481247e-03 7.044892506968261289e-03 9.359881770095763651e-03 -1.305000000000000604e+01 -5.349999999999999645e+00 -8.399984561566649355e-02 2.795474329211127706e+00 2.156608935061372207e-04 5.926765616522450486e+00
1.694091600000000000e+09 -6.676236799999999505e+01 2.597260640000000009e+01 5.759566619294263258e-03 1.053073303485370371e-02 7.097437827247145628e-03 1.308718383848953698e-02 -1.360000000000001208e+01 -4.899999999999993250e+00 -4.017089804314748214e-02 2.791508769457290651e+00 2.916526665217131936e-04 6.078959684530805596e+00
1.694092200000000000e+09 -6.676047359999999742e+01 2.597143679999999932e+01 2.526087918831190077e-02 3.411171212261786267e-02 3.162371570740032251e-02 4.283170476496762219e-02 -1.250000000000000000e+01 -4.649999999999998579e+00 4.989643031020974187e-03 2.783158352425239901e+00 9.506433927938863233e-04 6.451648502325485701e+00
1.694092800000000000e+09 -6.675731840000000261e+01 2.596995360000000019e+01 1.913558331672525481e-02 3.932308228869490357e-02 2.394469370897301524e-02 4.940752052805658101e-02 -1.139999999999998792e+01 -4.400000000000003908e+00 5.141833834905010919e-02 2.770389329441761195e+00 1.099241674708465030e-03 7.066614022576191090e+00
1.694093400000000000e+09 -6.675442560000000469e+01 2.596859200000000101e+01 2.797376780298487658e-02 4.134911291055681781e-02 3.508241809393881222e-02 5.197791434370494651e-02 -9.499999999999996447e+00 -3.349999999999997424e+00 9.904750047502859644e-02 2.753175067748099725e+00 1.166120785186005931e-03 7.746222760544532626e+00
1.694094000000000000e+09 -6.675157760000000451e+01 2.596742079999999930e+01 1.162267326307213355e-02 5.671615367960083920e-02 1.454022206431036454e-02 7.137825106305219214e-02 -7.600000000000006750e+00 -2.299999999999990941e+00 1.478053357456216022e-01 2.731496188893048238e+00 1.566378507484121781e-03 8.565972548345570203e+00
