# timestamp_grid lon_SD_grid lat_SD_grid taux_c_SD_grid tauy_c_SD_grid ucur_SD_grid[:,iz] vcur_SD_grid[:,iz] ucur_SD_grid_bp[:,iz] vcur_SD_grid_bp[:,iz] tau_dot_sfcvel_SD energy_input_SD
1.693983600000000000e+09 -6.591776640000000498e+01 1.982216800000000134e+01 -2.526453327643752439e-02 1.691483202478211156e-02 -1.814999999999999858e+01 -4.750000000000031974e-01 2.944889821292983267e+00 -2.017308007531432690e+00 4.505167337555695227e-03 0.000000000000000000e+00
1.693984200000000000e+09 -6.591708800000000679e+01 1.982337280000000135e+01 -3.113967382230699646e-02 2.156085140853268925e-02 -1.977499999999999858e+01 1.874999999999962252e-01 2.766132851374722978e+00 -2.131703167794402720e+00 6.198297094752206263e-03 3.211039329692370270e+00
1.693984800000000000e+09 -6.591689599999999416e+01 1.982456159999999912e+01 -2.940701074420821320e-02 2.363108477221972578e-02 -2.139999999999999858e+01 8.499999999999952038e-01 2.584338471516533176e+00 -2.244901346671155817e+00 6.493964519824424464e-03 7.018717814065359661e+00
1.693985400000000000e+09 -6.591630080000000191e+01 1.982586879999999852e+01 -3.293977951444113095e-02 2.237996343842329691e-02 -2.302499999999999503e+01 1.512499999999994404e+00 2.399695352677638560e+00 -2.356775689711973598e+00 7.922881180206219412e-03 1.134377152407455291e+01
1.693986000000000000e+09 -6.591616639999999450e+01 1.982720959999999977e+01 -3.083373322223249488e-02 1.551734189464875312e-02 -2.464999999999999503e+01 2.174999999999994049e+00 2.212394874356712116e+00 -2.467199872701176133e+00 7.938017425488918741e-03 1.610204110578309411e+01
1.693986600000000000e+09 -6.591610880000000350e+01 1.982855359999999934e+01 -2.763948835979495797e-02 1.659124357512679893e-02 -2.627499999999999147e+01 2.837499999999993250e+00 2.022630861551216075e+00 -2.576048225681818682e+00 7.733052102980344546e-03 2.080336196432387297e+01
1.693987200000000000e+09 -6.591599999999999682e+01 1.983023199999999875e+01 -2.997990286099116303e-02 1.921156087471456025e-02 -2.789999999999999147e+01 3.499999999999992006e+00 1.830599320525340357e+00 -2.683195857082017799e+00 9.036797528831540249e-03 2.583431685386743837e+01
1.693987800000000000e+09 -6.591583359999999914e+01 1.983199679999999887e+01 -3.233302782153835847e-02 1.515234417531846449e-02 -2.834999999999998721e+01 2.599999999999991207e+00 1.636498176041608632e+00 -2.788518780808750819e+00 9.560374335964400352e-03 3.141346841330621942e+01
1.693988400000000000e+09 -6.591569920000000593e+01 1.983370079999999902e+01 -3.144984692310939800e-02 1.660024260367181856e-02 -2.879999999999998295e+01 1.699999999999990408e+00 1.440527017131882026e+00 -2.891894055056034585e+00 9.339760038117919314e-03 3.708350872553091904e+01
1.693989000000000000e+09 -6.591583359999999914e+01 1.983534399999999920e+01 -3.606765135878363393e-02 1.805492926511799434e-02 -2.854999999999998650e+01 2.949999999999997069e+00 1.242886857547286894e+00 -2.993199934521856509e+00 1.082993487625370267e-02 4.313441719984240308e+01
