# timestamp_grid, lon_SD_grid, lat_SD_grid, taux_c_SD_grid, tauy_c_SD_grid, taux10m_c_SD_grid, tauy10m_c_SD_grid, ucur_SD_grid[:,iz], vcur_SD_grid[:,iz], ucur_SD_grid_bp[:,iz], vcur_SD_grid_bp[:,iz], tau_dot_sfcvel_SD, energy_input_SD, tau10m_dot_sfcvel_SD, energy_input_adj10m_SD
1.693724400000000000e+09 -5.202453760000000216e+01 2.001366240000000118e+01 -4.107172498442104511e-03 -8.327210413164567917e-04 -4.839587367322899757e-03 -8.963834615363769874e-04 -6.038461538461542766e+00 2.137692307692308802e+01 -3.392244606118662631e+00 7.060765524726700271e+00 8.052885733997384760e-05 0.000000000000000000e+00 1.008791070048989136e-04 0.000000000000000000e+00
1.693725000000000000e+09 -5.202484160000000202e+01 2.001479039999999898e+01 -4.646599192855745651e-03 5.523636359693873382e-04 -5.491535366079179636e-03 7.308375154827611003e-04 -5.315384615384617817e+00 2.073076923076924061e+01 -3.243217848602262254e+00 7.205363573306104108e+00 1.904991425940335658e-04 8.130839998020222836e-02 2.307619552756357841e-04 9.949231868416041902e-02
1.693725600000000000e+09 -5.202545279999999650e+01 2.001602719999999991e+01 -2.007572996020522572e-03 -1.392640726969191335e-03 -2.396743630104546888e-03 -1.586485156092855980e-03 -4.592307692307691980e+00 2.008461538461539320e+01 -3.091049108087232433e+00 7.344700235034325786e+00 -4.023021955919745538e-05 1.263890768906530682e-01 -4.243805638685253301e-05 1.559894883507954022e-01
1.693726200000000000e+09 -5.202483519999999828e+01 2.001613439999999855e+01 -3.009358915276104211e-03 4.484771748175710323e-04 -3.526516480884080759e-03 5.905792642438601218e-04 -3.869230769230766587e+00 1.943846153846154579e+01 -2.935841271850443857e+00 7.478640425459927243e+00 1.218899963476541591e-04 1.508870099271900911e-01 1.477002259045278438e-04 1.875681392060979946e-01
1.693726800000000000e+09 -5.202471680000000021e+01 2.001667679999999905e+01 -3.232602713196746670e-03 7.803274405432471033e-04 -3.792096131373308074e-03 9.790208804392581086e-04 -3.146153846153841194e+00 1.879230769230769837e+01 -2.777700218501620633e+00 7.607053524702975800e+00 1.491519386978249644e-04 2.321995904408338252e-01 1.798077049199805772e-04 2.858205184534505228e-01
1.693727400000000000e+09 -5.202424320000000080e+01 2.001679199999999881e+01 -1.714069422327303693e-03 -4.554835033327944596e-04 -2.160547976558546777e-03 -5.186725760376032206e-04 -2.423076923076915801e+00 1.814615384615385096e+01 -2.616734730978796275e+00 7.729813505143396490e+00 9.644624532807560791e-06 2.798385594100235574e-01 1.644338645203730710e-05 3.446958458650558610e-01
1.693728000000000000e+09 -5.202377280000000326e+01 2.001693759999999855e+01 -4.586651738189429471e-03 -1.541090570715676709e-03 -5.392437523668702944e-03 -1.741206526366947558e-03 -1.699999999999990408e+00 1.750000000000000355e+01 -2.453056406573239201e+00 7.846799054995344136e+00 -8.413126028681430324e-06 2.802080089612614122e-01 -4.349443111664448667e-06 3.483240288671677343e-01
1.693728600000000000e+09 -5.202390079999999983e+01 2.001759039999999956e+01 -2.611234466021566426e-03 -2.422707839703199407e-03 -3.069750785352163072e-03 -2.784180241123269603e-03 -6.200000000000005507e+00 1.209999999999999964e+01 -2.286779569702228621e+00 7.957893692531469831e+00 -1.330833380782020839e-04 2.377590697291963595e-01 -1.513636699968491596e-04 3.016100949346136595e-01
1.693729200000000000e+09 -5.202346239999999966e+01 2.001749440000000035e+01 -1.461081012408957901e-03 -3.346894877262379924e-03 -1.707408797258992434e-03 -3.855720902390560693e-03 -1.400000000000001243e+00 1.219999999999998863e+01 -2.118021194367942339e+00 8.062985861423886291e+00 -2.389136552406786042e-04 1.261599717335321336e-01 -2.747229510152681938e-04 1.737841086309784844e-01
1.693729800000000000e+09 -5.202288639999999731e+01 2.001752000000000109e+01 -1.497507371141978830e-03 -2.978406527446892868e-03 -1.746568196197763106e-03 -3.437249311237111030e-03 -8.999999999999896971e-01 8.600000000000008527e+00 -1.946900822174356005e+00 8.161969010702556204e+00 -2.139416344620727404e-04 -9.696615177293255172e-03 -2.465432730321499497e-04 1.740424141675303571e-02
1.693730400000000000e+09 -5.202294719999999728e+01 2.001785280000000000e+01 -8.991471710516800518e-05 -6.242650359015955398e-04 -1.212307875923922810e-04 -7.514223998789273506e-04 -6.000000000000005329e+00 1.060000000000000853e+01 -1.773540464591243149e+00 8.254741675490031128e+00 -4.993679219259891140e-05 -8.886014317369475557e-02 -5.987790092827942405e-05 -7.452211077137577133e-02
1.693731000000000000e+09 -5.202238080000000053e+01 2.001789120000000111e+01 5.880833573137366366e-04 -2.875969295356220305e-03 6.790129505541367015e-04 -3.297899081354172934e-03 -8.999999999999896971e-01 1.109999999999999787e+01 -1.598064509088674701e+00 8.341207570515932090e+00 -2.492885200070547392e-04 -1.786277368335908444e-01 -2.859356728168111275e-04 -1.782661828949029248e-01
1.693731600000000000e+09 -5.202159679999999753e+01 2.001795999999999864e+01 3.203327986301412892e-04 -3.127573608246987744e-04 4.129394093328024877e-04 -3.836293417255184023e-04 6.400000000000005684e+00 6.899999999999995026e+00 -1.420599621113884492e+00 8.421275693813857544e+00 -3.088880613138735080e-05 -2.626809346751234897e-01 -3.817270019348089342e-05 -2.754986947979904954e-01
1.693732200000000000e+09 -5.202100480000000005e+01 2.001797279999999901e+01 -1.365104179106293178e-03 -3.554422202201290657e-03 -1.598774444249330320e-03 -4.124268614153080333e-03 -1.299999999999990052e+00 7.200000000000006395e+00 -1.241274613125420867e+00 8.494860420883462382e+00 -2.849985132279312479e-04 -3.574471304829190954e-01 -3.305056808570049250e-04 -3.861022091131362521e-01
1.693732800000000000e+09 -5.202044479999999993e+01 2.001787039999999962e+01 -1.244945841489389143e-04 -1.042886568786923108e-04 -1.595293627183641842e-04 -1.211385853043160595e-04 -4.899999999999993250e+00 1.000000000000000888e+01 -1.060220319429933999e+00 8.561881585454433008e+00 -7.609154431277665347e-06 -4.452294307806817786e-01 -8.680379509053067497e-06 -4.878580272229536274e-01
1.693733400000000000e+09 -5.202015680000000231e+01 2.001789439999999942e+01 -3.516600959838464720e-04 -3.807710310818471287e-04 -4.552429208284269261e-04 -4.543263306736300931e-04 -9.800000000000007816e+00 1.370000000000000107e+01 -8.775695291164243850e-01 8.622264574474316490e+00 -2.974502387441488671e-05 -4.564356842723895635e-01 -3.517814510553156820e-05 -5.010155846073289787e-01
1.693734000000000000e+09 -5.202001280000000349e+01 2.001815519999999893e+01 -5.286802694661618543e-04 -7.179280992788110308e-04 -6.787058181720245298e-04 -8.661000537282684351e-04 -9.382724252491703609e+00 1.400897009966778661e+01 -6.934569524811717844e-01 8.675940448953666007e+00 -5.862084427472531077e-05 -4.829454447171315223e-01 -7.043579220681215280e-05 -5.326997658010321768e-01
1.693734600000000000e+09 -5.201919999999999789e+01 2.001806240000000159e+01 -4.773107650239201308e-04 -1.503021132415749373e-03 -5.909679122460204451e-04 -1.835009227755158992e-03 4.999999999999893419e-01 1.100000000000001066e+01 -5.080191589560792975e-01 8.722846062999826344e+00 -1.286813895409012547e-04 -5.391361148618194488e-01 -1.570627999614318895e-04 -6.009493434515054133e-01
1.693735200000000000e+09 -5.201837760000000088e+01 2.001793599999999884e+01 -2.792223110684387256e-04 -8.764478097425993947e-04 -3.526122660630911869e-04 -1.052460836192712799e-03 -4.000000000000003553e+00 1.350000000000000000e+01 -3.213944542277499816e-01 8.762924153864775079e+00 -7.590505179321251311e-05 -6.005120472620535388e-01 -9.109306855664483452e-05 -6.753961040069283994e-01
1.693735800000000000e+09 -5.201768320000000045e+01 2.001783520000000038e+01 7.630923833393241963e-04 -4.861636958371502834e-04 9.546465499126689704e-04 -5.896313260597872089e-04 4.000000000000003553e-01 8.600000000000008527e+00 -1.337227248517756650e-01 8.796123407257940841e+00 -4.378398657525958140e-05 -6.364187587725951278e-01 -5.314127846731702038e-05 -7.186664081141169724e-01
1.693736400000000000e+09 -5.201682879999999898e+01 2.001765119999999953e+01 1.927579932702233600e-03 -1.812187392513256532e-03 2.217290148430477777e-03 -2.068425962405253185e-03 -4.499999999999992895e+00 9.099999999999997868e+00 5.485470098792145921e-02 8.822398508761823521e+00 -1.588210252846723486e-04 -6.972002623305747493e-01 -1.812684933811272944e-04 -7.889893396686502580e-01
1.693737000000000000e+09 -5.201653759999999949e+01 2.001764800000000122e+01 7.598914275291644748e-04 1.134166309745022880e-04 9.360723535759881819e-04 1.667117239134625374e-04 -6.600000000000005862e+00 1.299999999999998934e+01 2.441951632034214115e-01 8.841710188988217922e+00 1.188358792850338858e-05 -7.412814935374254510e-01 1.702601089101151788e-05 -8.382620844156849493e-01
1.693737600000000000e+09 -5.201633280000000070e+01 2.001723519999999823e+01 7.724386177024229229e-04 -3.779699643903119380e-04 9.522639066608794712e-04 -4.598580375977194806e-04 -4.499999999999992895e+00 5.200000000000004619e+00 4.341547605750447625e-01 8.854025274174846416e+00 -3.011197714463274543e-05 -7.467500103022642888e-01 -3.658164779022044590e-05 -8.441287754854476244e-01
1.693738200000000000e+09 -5.201607039999999671e+01 2.001654080000000135e+01 3.634944566944812365e-04 -2.516500084807947522e-04 4.300868156116005440e-04 -2.930279945068874439e-04 -8.800000000000007816e+00 9.400000000000009237e+00 6.245884420316072383e-01 8.859316730948576080e+00 -2.002412694083324511e-05 -7.617908415279041057e-01 -2.327400560269990507e-05 -8.620854715033237081e-01
1.693738800000000000e+09 -5.201599680000000347e+01 2.001613280000000117e+01 9.269702492828680532e-04 4.210533878784859579e-04 1.152353088823176519e-03 5.621877967972834433e-04 -6.800000000000006040e+00 1.419999999999999041e+01 8.153501080088461084e-01 8.857563702614365653e+00 4.485312498209058027e-05 -7.543421421155269702e-01 5.919185438400662762e-05 -8.513101168689317655e-01
1.693739400000000000e+09 -5.201598080000000124e+01 2.001605759999999989e+01 1.025322628810551541e-03 3.505280415243952662e-04 1.259631061479945472e-03 4.586501986425543451e-04 -8.899003322259133597e+00 9.180398671096353880e+00 1.006292715917045610e+00 8.848751562544155291e+00 4.133510247991509397e-05 -7.284856738769253104e-01 5.326039223809614419e-05 -8.175744428823009669e-01
1.693740000000000000e+09 -5.201600640000000197e+01 2.001508319999999941e+01 1.016372843814716646e-03 -8.793684556584913537e-04 1.246521742366863946e-03 -1.084437546410428133e-03 -7.204651162790703722e+00 3.898006644518265063e+00 1.197268391274044053e+00 8.832871962128736598e+00 -6.550477896717663907e-05 -7.357365768231037828e-01 -8.086276917196656992e-05 -8.258551559624620619e-01
1.693740600000000000e+09 -5.201598400000000311e+01 2.001399359999999916e+01 -8.333111412184437223e-05 -5.199392050137608204e-04 -1.130401879021209345e-04 -6.366673038493722526e-04 -5.899999999999994138e+00 6.299999999999994493e+00 1.388128550025890640e+00 8.809922831993587167e+00 -4.696298572117323957e-05 -7.694769062296087370e-01 -5.765904128693608043e-05 -8.674116991001328270e-01
1.693741200000000000e+09 -5.201596800000000087e+01 2.001250239999999891e+01 -1.676376833970764013e-03 -3.818739536125709180e-03 -1.987405964633193450e-03 -4.438259775995470093e-03 -6.800000000000006040e+00 8.299999999999997158e+00 1.578724031855577525e+00 8.779908366631929084e+00 -3.617471959745385628e-04 -8.920899607383222518e-01 -4.210507969796812135e-04 -1.011024650580117923e+00
1.693741800000000000e+09 -5.201590720000000090e+01 2.001174560000000113e+01 -7.666732625516175419e-04 -2.177155482758760547e-03 -9.410147412622524256e-04 -2.615784641093179749e-03 -3.800000000000003375e+00 6.600000000000005862e+00 1.768905238868383467e+00 8.742839035447007134e+00 -2.039069229152863855e-04 -1.061786196405269722e+00 -2.453394997414336904e-04 -1.210941739596452349e+00
1.693742400000000000e+09 -5.201579199999999759e+01 2.001104319999999959e+01 3.091002036741907506e-03 -3.675703899849737041e-03 3.608559079670814115e-03 -4.265717453375826931e-03 -3.499999999999992006e+00 1.069999999999999929e+01 1.958522277444270099e+00 8.698731608473222465e+00 -2.592016534842656430e-04 -1.200718769325135327e+00 -3.003888789748712521e-04 -1.374660253211343885e+00
1.693743000000000000e+09 -5.201587520000000353e+01 2.001024639999999977e+01 -2.300419444266721663e-03 -7.895079890959252281e-04 -2.758582245140345397e-03 -9.206826020503504696e-04 -4.800000000000004263e+00 6.299999999999994493e+00 2.147425102974049427e+00 8.647609174622290951e+00 -1.176733499193148742e-04 -1.313781270346209507e+00 -1.388555207823862479e-04 -1.506433573138521220e+00
1.693743600000000000e+09 -5.201577600000000245e+01 2.000900640000000053e+01 -8.841235772000392075e-05 -3.307174755963899083e-03 -1.162680159591814781e-04 -3.826966165456289082e-03 -3.800000000000003375e+00 6.699999999999994849e+00 2.335463657944526705e+00 8.589501143568906372e+00 -2.861346519670238879e-04 -1.434923670912111149e+00 -3.314326998044028966e-04 -1.647520039314558149e+00
1.693744200000000000e+09 -5.201541439999999739e+01 2.000750559999999822e+01 -1.448941949387977119e-03 -1.655248253439907738e-03 -1.786719526490487039e-03 -2.013129275058853952e-03 -6.000000000000005329e-01 8.000000000000007105e+00 2.522488005171262149e+00 8.524443229301571279e+00 -1.776500845436971112e-04 -1.574059091865327442e+00 -2.166778479266175908e-04 -1.811953203633864362e+00
1.693744800000000000e+09 -5.201496639999999871e+01 2.000685119999999984e+01 -1.344429125270520803e-03 -1.686474697777508606e-03 -1.663402614644964505e-03 -2.050508782413259547e-03 6.000000000000005329e-01 1.200000000000001066e+01 2.708348473930893174e+00 8.452477435057986099e+00 -1.789607189749528777e-04 -1.681042332920922533e+00 -2.183695314664265005e-04 -1.942467417451777534e+00
1.693745400000000000e+09 -5.201452799999999854e+01 2.000631200000000121e+01 6.965259474737895600e-04 -6.203023532219408519e-03 8.100184460559535895e-04 -7.225518777127882229e-03 -2.200000000000001954e+00 1.679999999999999361e+01 2.892895815915069946e+00 8.373652062039756316e+00 -4.992698379232698254e-04 -1.884511499990389360e+00 -5.816068123399457728e-04 -2.182460320593689218e+00
1.693746000000000000e+09 -5.201405119999999727e+01 2.000596159999999912e+01 -4.674403028090173134e-03 -2.047568191893707132e-03 -5.498626281045639400e-03 -2.354676982754301106e-03 -1.099999999999989875e+00 1.310000000000000142e+01 3.075981347322999770e+00 8.288021732759235150e+00 -3.134866619799709752e-04 -2.128338449961361789e+00 -3.642928588309201189e-04 -2.466230221944949008e+00
1.693746600000000000e+09 -5.201374400000000264e+01 2.000539519999999882e+01 -4.005837460856715576e-03 -3.696482006826803945e-03 -4.714218150592842070e-03 -4.293023313351776796e-03 -1.099999999999989875e+00 1.310000000000000142e+01 3.257457074458069979e+00 8.195647393205453213e+00 -4.334390669927781683e-04 -2.352416168653186368e+00 -5.054046859222902002e-04 -2.727139485370912109e+00
1.693747200000000000e+09 -5.201336640000000244e+01 2.000435519999999912e+01 -1.206051107763093672e-03 -4.833434414019948701e-03 -1.413060137771248023e-03 -5.618611173867309357e-03 2.000000000000001776e-01 1.209999999999999964e+01 3.437175821681369925e+00 8.096596274873416377e+00 -4.327977677871423052e-04 -2.612287219087162438e+00 -5.034856244042529337e-04 -3.029806578468875244e+00
1.693747800000000000e+09 -5.201305599999999885e+01 2.000340800000000030e+01 -2.025803064964544660e-03 -2.976632637238990631e-03 -2.352683078174098216e-03 -3.421621375959703164e-03 1.800000000000001599e+00 1.250000000000000000e+01 3.614991370441126506e+00 7.990941835730765774e+00 -3.110935886857466590e-04 -2.835454626029028979e+00 -3.584690642416928975e-04 -3.288392985062658980e+00
1.693748400000000000e+09 -5.201271040000000312e+01 2.000295679999999976e+01 -1.480147135179674979e-03 -3.094092881449038435e-03 -1.720414796904833109e-03 -3.544071878479172853e-03 9.999999999998898659e-02 1.499999999999999112e+01 3.790758603519113201e+00 7.878763703449703115e+00 -2.998850717661931463e-04 -3.018748224164610860e+00 -3.444458207156710148e-04 -3.499267450549868208e+00
1.693749000000000000e+09 -5.201258560000000131e+01 2.000242240000000038e+01 -2.814684940287959063e-03 -1.576223566561256537e-03 -3.282146568185781953e-03 -1.788351427908687523e-03 -1.499999999999990230e+00 1.339999999999998970e+01 3.964333640969238015e+00 7.760147625683977424e+00 -2.339007776511051249e-04 -3.178883978989800241e+00 -2.688939514202477905e-04 -3.683269382190643704e+00
